,Marca temporal,Fruta,¿Con qué género te identificas?,¿Qué tan importante es para ti el color del fruto al momento de comprarlos en el mercado?,¿Qué tan importante es para ti la apariencia del fruto al momento de comprarlos en el mercado?,¿Qué tan importante es para ti el aroma del fruto al momento de comprarlos en el mercado?,¿Qué tan importante es para ti la textura y firmeza del fruto al momento de comprarlos en el mercado?,¿Qué tan importante es para ti el tamaño del fruto al momento de comprarlos en el mercado?,¿Qué tan importante es para ti el estado de madurez del fruto al momento de comprarlos en el mercado?,¿Qué tan importante es para ti el precio en relación a la calidad del fruto al momento de comprarlos en el mercado?,¿Qué tan importante es para ti el origen del fruto al momento de comprarlos en el mercado?,Describe el estado general del fruto (Apariencia externa),Describe el estado general del fruto (Apariencia interna),Describe la intensidad de color y brillo de la cáscara (si aplica el brillo) y lo que te provoca al verlo,Describe el aroma del producto y lo que te produce el producto al momento de olerlo,Descripción de la textura del producto y la sensación que te provoca,Describe el sabor y lo que te provoca el sabor,¿Qué remembranza te provoca la fruta? (remembranza: recuerdos),¿Que sensación te provoca la fruta? (A nivel general),Describe que criterios tienes al momento de adquirir este producto en un lugar de mercado
0,2023/10/05 1:38:58 p. m. GMT-5,Pitahaya,Masculino,Moderadamente importante,Importante,Moderadamente importante,Importante,Importante,Muy importante,Importante,Moderadamente importante,"Me gusta, tiene colores brillantes y se ve fresca","Fresca, bien hidratada","Es clara, brillante, de buen aspecto, es interesante","Tiene olor curioso, no me atrae demasiado","Esta blanda, me gusta",Tiene buen sabor,"No muy clara, no suelo comerla",Me gusta,Color y textura
1,2023/10/05 1:45:05 p. m. GMT-5,Pitahaya,Masculino,Moderadamente importante,Moderadamente importante,Muy importante,Muy importante,Moderadamente importante,Importante,Moderadamente importante,Moderadamente importante,"Brillante,blandita ",Blandita  de buen tamaño con poco aroma ,"Brillante,y me provoca curiosidad al ser de una apariencia y color poco común ",Poco intenso aroma anidado ,Textura suave un poco carrasposa ,Es un sabor poco dulce refrescante con un tono a fresa ,Recuerdo la pitaya normal ,Sasia la sed y deja un sabor rico en la boca ,El tamaño el estado de madures y el color 
2,2023/10/05 1:48:54 p. m. GMT-5,Pitahaya,Masculino,Importante,Importante,Importante,Moderadamente importante,Moderadamente importante,Importante,Muy importante,Moderadamente importante,Se ve bien,Se ve rico,Apetitoso ,Huele bien ,Me gusta ,Fresco ,Ninguno,Buena ,Precio
3,2023/10/05 1:49:22 p. m. GMT-5,Pitahaya,Femenino,Importante,Importante,Moderadamente importante,Importante,Moderadamente importante,Moderadamente importante,Poco importante,Importante, Color rosado blando , Transparente y rosada , Intensidad del color alta y opaca ,Frutal ,Lisa , Desabrido ,Ninguna,No es rica, Color sabor 
4,2023/10/05 1:49:40 p. m. GMT-5,Pitahaya,Femenino,Importante,Muy importante,Muy importante,Muy importante,Importante,Muy importante,Importante,Importante,Uno es más brillante  que el otro y es más grande ,Se ve maduro ,Uno está más maduro que el otro ,Fruta fresca,Esta para consumir inmediatamente ,Esta pasada. ,Mi mamá me picaba Pitaya todas las mañanas antes de ir a entrenar. Me siento en casa ,Que está pasada al comerla. ,Mirar que no esté tan madura para que me dure lo suficiente. Y la manipulación que pudo tener. Origen. 
5,2023/10/05 1:49:42 p. m. GMT-5,Pitahaya,Masculino,Muy importante,Muy importante,Importante,Importante,Moderadamente importante,Importante,Moderadamente importante,Muy importante,Color poco homogéneo. ,"Súper llamativo. Blando, jugoso. ",Media ,Básica ,"Suave, jugosa ","Jugoso, calma la sed",Lo exótico ,El desierto ,Precio. 
6,2023/10/05 1:51:53 p. m. GMT-5,Pitahaya,Femenino,Importante,Moderadamente importante,Importante,Importante,Nada importante,Moderadamente importante,Moderadamente importante,Poco importante,"Blando, color rosado, textura lisa , fruto de ran tamaño. Fruto vistoso y llamativo ","Firmé con semillas visibles, firmé tonalidad blanca /translúcida ","Intensidad de color  opaco color no uniforme , no aplica brillo ",Olor arbustivo ,"Compacto, agradable al gusto uniforme ","Similar a la pitaya , dulce",Canelazo ,Fruto interesante no lo conocía ,Madurez y firmeza 
7,2023/10/05 1:52:23 p. m. GMT-5,Pitahaya,Masculino,Poco importante,Importante,Importante,Importante,Muy importante,Moderadamente importante,Moderadamente importante,Poco importante,Bueno ,Bueno ,Curiosidad ,No mucho ,,Tiene poco sabor ,Ninguna ,Tiene poco sabor ,El estado externo de la fruta y el grado de maduración 
8,2023/10/05 1:53:55 p. m. GMT-5,Pitahaya,Femenino,Importante,Importante,Moderadamente importante,Importante,Moderadamente importante,Importante,Importante,Importante,"Es bonito y llamativo, el color es agradable ",Muy bien ,"Opaco, no se ve tan fruto ",Huelo un poco dulce ,Las semillitas no son tan agradables ,Incipido ,A la patilla pero menos dulce ,Es agradable a la vista,
9,2023/10/05 1:57:11 p. m. GMT-5,Pitahaya,Masculino,Importante,Muy importante,Moderadamente importante,Importante,Moderadamente importante,Moderadamente importante,Importante,Poco importante,"Color no tan brillante puntas no verdes sino cafés, con golpes",Sana con color blanco brillante ,"Morado no continuo con manchas opacas, no se ve de buena calidad ",Aroma dulce suave,Se ve firme pero hay zonas blandas lo que me hace pensar que no esta sano por dentro ,Jugoza pero insípida ,De pequeño mi abuela me daba de comer en pocas cantidades ,Comer con clase ,Colores brillantes y de apariencia sana
10,2023/10/05 1:57:29 p. m. GMT-5,Pitahaya,Masculino,Moderadamente importante,Muy importante,Poco importante,Muy importante,Importante,Importante,Muy importante,Moderadamente importante,"es de color rosado con cambios de tonalidad a café en las zonas maduras, generalmente rosado",es de color blancuzco con semillas negras y tonalidades rosadas supongo que por la cáscara ,los colores vivos son muy llamativos ,"aroma neutro, algo floral, muy fresco ","blanda, agradable, refrescante ",bastante acuoso y refrescante ,"me recuerda a frutas similares, de textura acuosa, como la sandía en días cálidos o en climas más calientes",refresco,"el color, la firmeza y el precio"
11,2023/10/05 1:57:32 p. m. GMT-5,Pitahaya,Femenino,Importante,Importante,Poco importante,Importante,Moderadamente importante,Moderadamente importante,Importante,Poco importante,Bonita,Grande ,Brilloso medio,Olor neutro ,"Suavidad, ninguna","Acuoso, desagradable ",Niñez,Pertenencia de un fruto tropical,Que se vea en buen estado
12,2023/10/05 1:57:51 p. m. GMT-5,Pitahaya,Masculino,Poco importante,Importante,Muy importante,Moderadamente importante,Poco importante,Moderadamente importante,Importante,Poco importante,"Maltratado y blando,con colores palidos ","Jugoso y en buen estado,colores pálidos ",Colores perlados rojos muy llamativos,Agradable y dulce ,Arenosa y resbaloso ,Agradable medianamente neutro y muy refrescante ,Primera vez que lo como ,Sensación de bienestar ,El nivel de madurez y que tan higiénico es el sitio
13,2023/10/05 2:01:09 p. m. GMT-5,Pitahaya,Masculino,Nada importante,Nada importante,Importante,Poco importante,Importante,Importante,Importante,Poco importante,"Lindo,comestible,perfecto ",Bien supongo ,Curiosidad ,Nada ,Babosa,Neutro ,Chistosa,Neutra ,No suelo consumir pero pensaría que el tamaño y color externo 
14,2023/10/05 2:01:29 p. m. GMT-5,Pitahaya,Masculino,Importante,Importante,Nada importante,Moderadamente importante,Importante,Moderadamente importante,Muy importante,Moderadamente importante,,Parece que está en buen estado,Me parece curioso el color,No tengo sentido del olfato ,Se parece a un kiwi,No me sabe a nada,Al kiwi pero sin sabor ,Ninguna,Lo probaría por el color del fruto
15,2023/10/05 2:02:01 p. m. GMT-5,Pitahaya,Femenino,Muy importante,Moderadamente importante,Muy importante,Importante,Nada importante,Moderadamente importante,Muy importante,Poco importante,Color fuerte no se observa magullada,Se ve fresca,Rosado intenso ,Huele fresco ,n textura granulada,Sabor dulce desabrido ,Comiendo con mi familia ,Felicidad,El precio y estado 
16,2023/10/05 2:02:52 p. m. GMT-5,Pitahaya,Femenino,Muy importante,Muy importante,Muy importante,Importante,Moderadamente importante,Importante,Importante,Importante,"Tamaño grande, parece estar madura, se ve sana","El color luce agradable, textura firme","Luce brillante, color fucsia leve, aspecto saludable",Me resulta inoloro,Gelatinosa,Siento que no está tan dulce ,Me recuerda a mi abuelita,Bienestar ,"Calidad, precio, qué tan nutritivo es"
17,2023/10/05 2:03:40 p. m. GMT-5,Pitahaya,Femenino,Muy importante,Muy importante,Muy importante,Moderadamente importante,Importante,Moderadamente importante,Muy importante,Moderadamente importante,Bueno,"Blandita, tiene algunas magulladuras, es grande",Esta opaca aunque naturalmente es llamativa por su color rosa,Huele a fresco ,Es blandita ,Bastante fresco y rico,A una ensalada de frutas,No es provocativa pero esta rica,Que este un poco dura y brillante 
18,2023/10/05 2:04:46 p. m. GMT-5,Pitahaya,Femenino,Muy importante,Muy importante,Muy importante,Muy importante,Poco importante,Moderadamente importante,Muy importante,Nada importante,"Tiene un color lindo, pero hay un daño en una parte del fruto y eso le quita calidad","Se siente suave, sabe simple, es jugosa.","Tiene colores llamativos y que combinan muy bien, el brillo en la cascara da ganas de comprarla y comerla.","No me genera sensaciones muy intensas, más bien da como tranquilidad",Solo la textura me provoca consumir del mismo ,"No me gusta, por su apariencia, hace pensar que será más rico, más intenso o dulce su sabor, pero es bastante simple.",Ninguno,Ninguna,"Que no tenga golpes, que no esté abierto o tenga ranuras, que su color sea llamativo y que sea grande"
19,2023/10/05 2:06:23 p. m. GMT-5,Pitahaya,Masculino,Poco importante,Poco importante,Importante,Importante,Moderadamente importante,Importante,Muy importante,Moderadamente importante,Agradable,Un poco simple,Probarla,Normal,Muy blanda ,Desfustar,Estar en el campo ,Frescura,Sabor y lo medicinal
20,2023/10/05 2:06:55 p. m. GMT-5,Pitahaya,Masculino,Moderadamente importante,Moderadamente importante,Moderadamente importante,Importante,Moderadamente importante,Moderadamente importante,Importante,Importante,Se de muy buen color es muy grande y según mi persecución es de m jor sabor si es más pequeña ,Muy bien ,Me atrae el color ,No tiene una aroma fuerte entonces normal ,Es como muy suave ,"El sabor fue muy neutro, me gustó ",Muchas anécdotas pues de como la probé por primera vez y cosas así ,Me gusta ,Que este limpio el lugar 
21,2023/10/05 2:08:25 p. m. GMT-5,Pitahaya,Femenino,Muy importante,Muy importante,Importante,Muy importante,Importante,Importante,Muy importante,Moderadamente importante,Su aparecía genera mucha intriga y deseo de probarlo,,Es muy fuerte ,Sin tanto olor,Muy grumosa,Es muy suave al momento de ingerirlo,Un dulzor muy suave,Comer mucha,Su color y forma
22,2023/10/05 2:08:55 p. m. GMT-5,Pitahaya,Masculino,Moderadamente importante,Moderadamente importante,Muy importante,Moderadamente importante,Poco importante,Nada importante,Nada importante,Nada importante,"Gran tamaño, buen color","Muy buen estado, maduro,  grande",Adecuada para el fruto,Huele a desinfección ,"Me provoca hambre, ganas de comer","La pitaya estaba simple, le falta dulzura y textura ",No me genera ningún recuerdo asociado a dragón fruit,"Desinflado, esperaba más del fruto al probarlo por como lucía",Indiferencia
23,2023/10/05 2:10:01 p. m. GMT-5,Pitahaya,Femenino,Moderadamente importante,Importante,Moderadamente importante,Importante,Moderadamente importante,Importante,Muy importante,Nada importante,Fresco y con sabor dulce,Su coloración es opaca pero su sabor es dulce ,Esta brillante con tonalidades provocativas,No sentí un olor característico,Es una textura fibrosa y rugosa,Me provoca seguir comiendo mas de este fruto,Me recuerda a otros alimentos o frutas con fibra como la papaya,Me gusta su sabor y me atrae,"La luminosidad y la intensidad del color, con la firmeza y frescura"
